Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
3/8/2011,0:00,-0.868,-,-0.91
3/8/2011,1:00,-0.797,-,-0.87
3/8/2011,2:00,-0.622,-,-0.74
3/8/2011,3:00,-0.381,-,-0.54
3/8/2011,4:00,-0.129,-,-0.36
3/8/2011,5:00,0.079,-,-0.18
3/8/2011,6:00,0.212,-,-0.19
3/8/2011,7:00,0.271,-,-0.05
3/8/2011,8:00,0.269,-,-0.12
3/8/2011,9:00,0.222,-,-0.14
3/8/2011,10:00,0.162,-,-0.27
3/8/2011,11:00,0.133,-,-0.31
3/8/2011,12:00,0.172,-,-0.24
3/8/2011,13:00,0.283,-,-0.31
3/8/2011,14:00,0.444,-,-0.1
3/8/2011,15:00,0.619,-,0.1
3/8/2011,16:00,0.755,-,0.24
3/8/2011,17:00,0.793,-,0.27
3/8/2011,18:00,0.693,-,0.12
3/8/2011,19:00,0.456,-,-0.06
3/8/2011,20:00,0.115,-,-0.36
3/8/2011,21:00,-0.284,-,-0.8
3/8/2011,22:00,-0.682,-,-1.15
3/8/2011,23:00,-1.007,-,-1.43
3/9/2011,0:00,-1.193,-,-1.54
3/9/2011,1:00,-1.213,-,-1.63
3/9/2011,2:00,-1.078,-,-1.5
3/9/2011,3:00,-0.825,-,-1.26
3/9/2011,4:00,-0.502,-,-0.97
3/9/2011,5:00,-0.172,-,-0.5
3/9/2011,6:00,0.107,-,-0.09
3/9/2011,7:00,0.307,-,-0.01
3/9/2011,8:00,0.429,-,0.24
3/9/2011,9:00,0.483,-,0.45
3/9/2011,10:00,0.485,-,0.48
3/9/2011,11:00,0.467,-,0.56
3/9/2011,12:00,0.477,-,0.62
3/9/2011,13:00,0.543,-,0.67
3/9/2011,14:00,0.663,-,0.86
3/9/2011,15:00,0.808,-,0.95
3/9/2011,16:00,0.935,-,1.04
3/9/2011,17:00,0.991,-,1.13
3/9/2011,18:00,0.921,-,1.01
3/9/2011,19:00,0.697,-,0.75
3/9/2011,20:00,0.337,-,0.47
3/9/2011,21:00,-0.113,-,-0.04
3/9/2011,22:00,-0.598,-,-0.44
3/9/2011,23:00,-1.047,-,-0.94
3/10/2011,0:00,-1.381,-,-1.24
3/10/2011,1:00,-1.538,-,-1.43
3/10/2011,2:00,-1.498,-,-1.5
3/10/2011,3:00,-1.288,-,-1.23
3/10/2011,4:00,-0.952,-,-1
3/10/2011,5:00,-0.552,-,-0.59
3/10/2011,6:00,-0.155,-,-0.24
3/10/2011,7:00,0.182,-,0.09
3/10/2011,8:00,0.433,-,0.33
3/10/2011,9:00,0.601,-,0.51
3/10/2011,10:00,0.695,-,0.61
3/10/2011,11:00,0.732,-,0.72
3/10/2011,12:00,0.748,-,0.76
3/10/2011,13:00,0.789,-,0.72
3/10/2011,14:00,0.878,-,0.83
3/10/2011,15:00,1.001,-,0.82
3/10/2011,16:00,1.123,-,0.9
3/10/2011,17:00,1.196,-,0.98
3/10/2011,18:00,1.166,-,0.93
3/10/2011,19:00,0.986,-,0.77
3/10/2011,20:00,0.644,-,0.39
3/10/2011,21:00,0.171,-,-0.02
3/10/2011,22:00,-0.374,-,-0.59
3/10/2011,23:00,-0.925,-,-1.04
3/11/2011,0:00,-1.401,-,-1.44
3/11/2011,1:00,-1.721,-,-1.8
3/11/2011,2:00,-1.828,-,-1.88
3/11/2011,3:00,-1.718,-,-1.75
