"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/03/08","00:00","0.665","-","1.07"
"2011/03/08","01:00","0.42","-","0.84"
"2011/03/08","02:00","0.049","-","0.37"
"2011/03/08","03:00","-0.365","-","0.02"
"2011/03/08","04:00","-0.736","-","-0.28"
"2011/03/08","05:00","-0.987","-","-0.53"
"2011/03/08","06:00","-1.064","-","-0.61"
"2011/03/08","07:00","-0.95","-","-0.47"
"2011/03/08","08:00","-0.662","-","-0.09"
"2011/03/08","09:00","-0.258","-","0.2"
"2011/03/08","10:00","0.158","-","0.57"
"2011/03/08","11:00","0.465","-","0.87"
"2011/03/08","12:00","0.584","-","0.89"
"2011/03/08","13:00","0.509","-","0.75"
"2011/03/08","14:00","0.295","-","0.69"
"2011/03/08","15:00","0.011","-","0.33"
"2011/03/08","16:00","-0.269","-","0.16"
"2011/03/08","17:00","-0.475","-","-0.01"
"2011/03/08","18:00","-0.551","-","-0.07"
"2011/03/08","19:00","-0.472","-","-0.01"
"2011/03/08","20:00","-0.248","-","0.2"
"2011/03/08","21:00","0.074","-","0.4"
"2011/03/08","22:00","0.408","-","0.76"
"2011/03/08","23:00","0.642","-","1.07"
"2011/03/09","00:00","0.687","-","1.17"
"2011/03/09","01:00","0.522","-","0.97"
"2011/03/09","02:00","0.199","-","0.66"
"2011/03/09","03:00","-0.205","-","0.33"
"2011/03/09","04:00","-0.611","-","-0.01"
"2011/03/09","05:00","-0.94","-","-0.37"
"2011/03/09","06:00","-1.126","-","-0.65"
"2011/03/09","07:00","-1.129","-","-0.64"
"2011/03/09","08:00","-0.946","-","-0.4"
"2011/03/09","09:00","-0.613","-","-0.05"
"2011/03/09","10:00","-0.204","-","0.32"
"2011/03/09","11:00","0.178","-","0.63"
"2011/03/09","12:00","0.431","-","0.82"
"2011/03/09","13:00","0.503","-","0.86"
"2011/03/09","14:00","0.413","-","0.82"
"2011/03/09","15:00","0.222","-","0.66"
"2011/03/09","16:00","-0.01","-","0.38"
"2011/03/09","17:00","-0.221","-","0.24"
"2011/03/09","18:00","-0.353","-","0.25"
"2011/03/09","19:00","-0.362","-","0.17"
"2011/03/09","20:00","-0.237","-","0.3"
"2011/03/09","21:00","-0.004","-","0.59"
"2011/03/09","22:00","0.282","-","0.82"
"2011/03/09","23:00","0.536","-","0.99"
"2011/03/10","00:00","0.661","-","1.15"
"2011/03/10","01:00","0.597","-","1.06"
"2011/03/10","02:00","0.353","-","0.81"
"2011/03/10","03:00","-0.009","-","0.53"
"2011/03/10","04:00","-0.416","-","0.19"
"2011/03/10","05:00","-0.796","-","-0.24"
"2011/03/10","06:00","-1.08","-","-0.46"
"2011/03/10","07:00","-1.208","-","-0.59"
