#YY,MM,DD,hh,mm,ss,T,Water Column HEIGHT
#yr,mo,dy,hr,mn,s,-,m
2011,3,15,0,0,0,1,5825.095
2011,3,14,23,45,0,1,5825.106
2011,3,14,23,30,0,1,5825.109
2011,3,14,23,15,0,1,5825.113
2011,3,14,23,0,0,1,5825.118
2011,3,14,22,45,0,1,5825.127
2011,3,14,22,30,0,1,5825.132
2011,3,14,22,15,0,1,5825.141
2011,3,14,22,0,0,1,5825.135
2011,3,14,21,45,0,1,5825.137
2011,3,14,21,30,0,1,5825.14
2011,3,14,21,15,0,1,5825.135
2011,3,14,21,0,0,1,5825.14
2011,3,14,20,45,0,1,5825.134
2011,3,14,20,30,0,1,5825.13
2011,3,14,20,15,0,1,5825.131
2011,3,14,20,0,0,1,5825.127
2011,3,14,19,45,0,1,5825.122
2011,3,14,19,30,0,1,5825.116
2011,3,14,19,15,0,1,5825.105
2011,3,14,19,0,0,1,5825.102
2011,3,14,18,45,0,1,5825.091
2011,3,14,18,30,0,1,5825.074
2011,3,14,18,15,0,1,5825.075
2011,3,14,18,0,0,1,5825.068
2011,3,14,17,45,0,1,5825.059
2011,3,14,17,30,0,1,5825.045
2011,3,14,17,15,0,1,5825.041
2011,3,14,17,0,0,1,5825.029
2011,3,14,16,45,0,1,5825.024
2011,3,14,16,30,0,1,5825.027
2011,3,14,16,15,0,1,5825.006
2011,3,14,16,0,0,1,5824.997
2011,3,14,15,45,0,1,5824.991
2011,3,14,15,30,0,1,5824.98
2011,3,14,15,15,0,1,5824.97
2011,3,14,15,0,0,1,5824.957
2011,3,14,14,45,0,1,5824.945
2011,3,14,14,30,0,1,5824.938
2011,3,14,14,15,0,1,5824.929
2011,3,14,14,0,0,1,5824.914
2011,3,14,13,45,0,1,5824.908
2011,3,14,13,30,0,1,5824.893
2011,3,14,13,15,0,1,5824.878
2011,3,14,13,0,0,1,5824.858
2011,3,14,12,45,0,1,5824.854
2011,3,14,12,30,0,1,5824.837
2011,3,14,12,15,0,1,5824.837
2011,3,14,12,0,0,1,5824.825
2011,3,14,11,45,0,1,5824.81
2011,3,14,11,30,0,1,5824.805
2011,3,14,11,15,0,1,5824.795
2011,3,14,11,0,0,1,5824.79
2011,3,14,10,45,0,1,5824.773
2011,3,14,10,30,0,1,5824.773
2011,3,14,10,15,0,1,5824.767
2011,3,14,10,0,0,1,5824.76
2011,3,14,9,45,0,1,5824.746
2011,3,14,9,30,0,1,5824.734
2011,3,14,9,15,0,1,5824.729
2011,3,14,9,0,0,1,5824.716
2011,3,14,8,45,0,1,5824.72
2011,3,14,8,30,0,1,5824.72
2011,3,14,8,15,0,1,5824.707
2011,3,14,8,0,0,1,5824.706
2011,3,14,7,45,0,1,5824.714
2011,3,14,7,30,0,1,5824.717
2011,3,14,7,15,0,1,5824.716
2011,3,14,7,0,0,1,5824.711
2011,3,14,6,45,0,1,5824.714
2011,3,14,6,30,0,1,5824.731
2011,3,14,6,15,0,1,5824.735
2011,3,14,6,0,0,1,5824.738
2011,3,14,5,45,0,1,5824.749
2011,3,14,5,30,0,1,5824.748
2011,3,14,5,15,0,1,5824.769
2011,3,14,5,0,0,1,5824.768
2011,3,14,4,45,0,1,5824.792
2011,3,14,4,30,0,1,5824.802
2011,3,14,4,15,0,1,5824.818
2011,3,14,4,0,0,1,5824.838
2011,3,14,3,45,0,1,5824.85
