#YY,MM,DD,hh,mm,ss,T,HEIGHT
#yr,mo,dy,hr,mn,s,-,m
2011,3,15,0,0,0,1,2737.005
2011,3,14,23,45,0,1,2736.941
2011,3,14,23,30,0,1,2736.892
2011,3,14,23,15,0,1,2736.854
2011,3,14,23,0,0,1,2736.81
2011,3,14,22,45,0,1,2736.789
2011,3,14,22,30,0,1,2736.762
2011,3,14,22,15,0,1,2736.751
2011,3,14,22,0,0,1,2736.767
2011,3,14,21,45,0,1,2736.769
2011,3,14,21,30,0,1,2736.798
2011,3,14,21,15,0,1,2736.822
2011,3,14,21,0,0,1,2736.862
2011,3,14,20,45,0,1,2736.911
2011,3,14,20,30,0,1,2736.971
2011,3,14,20,15,0,1,2737.032
2011,3,14,20,0,0,1,2737.09
2011,3,14,19,45,0,1,2737.186
2011,3,14,19,30,0,1,2737.263
2011,3,14,19,15,0,1,2737.342
2011,3,14,19,0,0,1,2737.431
2011,3,14,18,45,0,1,2737.53
2011,3,14,18,30,0,1,2737.627
2011,3,14,18,15,0,1,2737.721
2011,3,14,18,0,0,1,2737.823
2011,3,14,17,45,0,1,2737.916
2011,3,14,17,30,0,1,2738.009
2011,3,14,17,15,0,1,2738.097
2011,3,14,17,0,0,1,2738.176
2011,3,14,16,45,0,1,2738.245
2011,3,14,16,30,0,1,2738.324
2011,3,14,16,15,0,1,2738.393
2011,3,14,16,0,0,1,2738.426
2011,3,14,15,45,0,1,2738.477
2011,3,14,15,30,0,1,2738.508
2011,3,14,15,15,0,1,2738.528
2011,3,14,15,0,0,1,2738.548
2011,3,14,14,45,0,1,2738.557
2011,3,14,14,30,0,1,2738.56
2011,3,14,14,15,0,1,2738.551
2011,3,14,14,0,0,1,2738.549
2011,3,14,13,45,0,1,2738.513
2011,3,14,13,30,0,1,2738.491
2011,3,14,13,15,0,1,2738.457
2011,3,14,13,0,0,1,2738.4
2011,3,14,12,45,0,1,2738.382
2011,3,14,12,30,0,1,2738.331
2011,3,14,12,15,0,1,2738.272
2011,3,14,12,0,0,1,2738.219
2011,3,14,11,45,0,1,2738.174
2011,3,14,11,30,0,1,2738.133
2011,3,14,11,15,0,1,2738.073
2011,3,14,11,0,0,1,2738.018
2011,3,14,10,45,0,1,2737.972
2011,3,14,10,30,0,1,2737.929
2011,3,14,10,15,0,1,2737.899
2011,3,14,10,0,0,1,2737.843
2011,3,14,9,45,0,1,2737.825
2011,3,14,9,30,0,1,2737.791
2011,3,14,9,15,0,1,2737.767
2011,3,14,9,0,0,1,2737.743
2011,3,14,8,45,0,1,2737.744
2011,3,14,8,30,0,1,2737.739
2011,3,14,8,15,0,1,2737.739
2011,3,14,8,0,0,1,2737.747
2011,3,14,7,45,0,1,2737.762
2011,3,14,7,30,0,1,2737.78
2011,3,14,7,15,0,1,2737.791
2011,3,14,7,0,0,1,2737.812
2011,3,14,6,45,0,1,2737.845
2011,3,14,6,30,0,1,2737.866
2011,3,14,6,15,0,1,2737.898
2011,3,14,6,0,0,1,2737.916
2011,3,14,5,45,0,1,2737.954
2011,3,14,5,30,0,1,2737.965
2011,3,14,5,15,0,1,2737.995
2011,3,14,5,0,0,1,2738.006
2011,3,14,4,45,0,1,2738.025
2011,3,14,4,30,0,1,2738.051
2011,3,14,4,15,0,1,2738.052
2011,3,14,4,0,0,1,2738.066
2011,3,14,3,45,0,1,2738.059
2011,3,14,3,30,0,1,2738.059
2011,3,14,3,15,0,1,2738.029
2011,3,14,3,0,0,1,2738.02
2011,3,14,2,45,0,1,2737.986
2011,3,14,2,30,0,1,2737.959
2011,3,14,2,15,0,1,2737.92
2011,3,14,2,0,0,1,2737.868
2011,3,14,1,45,0,1,2737.833
2011,3,14,1,30,0,1,2737.779
2011,3,14,1,15,0,1,2737.705
2011,3,14,1,0,0,1,2737.634
2011,3,14,0,45,0,1,2737.58
2011,3,14,0,30,0,1,2737.512
2011,3,14,0,15,0,1,2737.454
2011,3,14,0,0,0,1,2737.37
2011,3,13,23,45,0,1,2737.303
