"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/03/08","00:00","-0.603","-","-0.95"
"2011/03/08","01:00","-0.478","-","-0.82"
"2011/03/08","02:00","-0.259","-","-0.63"
"2011/03/08","03:00","0.003","-","-0.35"
"2011/03/08","04:00","0.24","-","-0.08"
"2011/03/08","05:00","0.398","-","0.04"
"2011/03/08","06:00","0.443","-","0.08"
"2011/03/08","07:00","0.378","-","0.02"
"2011/03/08","08:00","0.231","-","-0.14"
"2011/03/08","09:00","0.044","-","-0.37"
"2011/03/08","10:00","-0.136","-","-0.48"
"2011/03/08","11:00","-0.267","-","-0.65"
"2011/03/08","12:00","-0.321","-","-0.69"
"2011/03/08","13:00","-0.286","-","-0.63"
"2011/03/08","14:00","-0.175","-","-0.53"
"2011/03/08","15:00","-0.02","-","-0.38"
"2011/03/08","16:00","0.131","-","-0.24"
"2011/03/08","17:00","0.23","-","-0.15"
"2011/03/08","18:00","0.241","-","-0.11"
"2011/03/08","19:00","0.154","-","-0.19"
"2011/03/08","20:00","-0.016","-","-0.4"
"2011/03/08","21:00","-0.234","-","-0.57"
"2011/03/08","22:00","-0.449","-","-0.78"
"2011/03/08","23:00","-0.608","-","-0.91"
"2011/03/09","00:00","-0.665","-","-0.99"
"2011/03/09","01:00","-0.599","-","-0.85"
"2011/03/09","02:00","-0.418","-","-0.68"
"2011/03/09","03:00","-0.162","-","-0.4"
"2011/03/09","04:00","0.107","-","-0.11"
"2011/03/09","05:00","0.327","-","0.09"
"2011/03/09","06:00","0.451","-","0.19"
"2011/03/09","07:00","0.459","-","0.16"
"2011/03/09","08:00","0.364","-","-0.07"
"2011/03/09","09:00","0.2","-","-0.1"
"2011/03/09","10:00","0.012","-","-0.29"
"2011/03/09","11:00","-0.154","-","-0.45"
"2011/03/09","12:00","-0.257","-","-0.49"
"2011/03/09","13:00","-0.278","-","-0.57"
"2011/03/09","14:00","-0.214","-","-0.51"
"2011/03/09","15:00","-0.091","-","-0.41"
"2011/03/09","16:00","0.052","-","-0.28"
"2011/03/09","17:00","0.167","-","-0.13"
"2011/03/09","18:00","0.216","-","-0.04"
"2011/03/09","19:00","0.174","-","-0.14"
"2011/03/09","20:00","0.044","-","-0.28"
"2011/03/09","21:00","-0.153","-","-0.43"
"2011/03/09","22:00","-0.374","-","-0.64"
"2011/03/09","23:00","-0.568","-","-0.82"
"2011/03/10","00:00","-0.683","-","-0.9"
"2011/03/10","01:00","-0.685","-","-0.89"
"2011/03/10","02:00","-0.563","-","-0.77"
"2011/03/10","03:00","-0.341","-","-0.52"
"2011/03/10","04:00","-0.068","-","-0.21"
"2011/03/10","05:00","0.194","-","-0.06"
"2011/03/10","06:00","0.388","-","0.13"
"2011/03/10","07:00","0.478","-","0.25"
"2011/03/10","08:00","0.456","-","0.22"
"2011/03/10","09:00","0.34","-","0.08"
"2011/03/10","10:00","0.168","-","-0.11"
"2011/03/10","11:00","-0.012","-","-0.26"
"2011/03/10","12:00","-0.155","-","-0.45"
"2011/03/10","13:00","-0.228","-","-0.48"
"2011/03/10","14:00","-0.219","-","-0.43"
"2011/03/10","15:00","-0.139","-","-0.37"
"2011/03/10","16:00","-0.019","-","-0.21"
"2011/03/10","17:00","0.1","-","-0.07"
"2011/03/10","18:00","0.176","-","0"
"2011/03/10","19:00","0.178","-","-0.05"
"2011/03/10","20:00","0.093","-","-0.14"
"2011/03/10","21:00","-0.07","-","-0.3"
"2011/03/10","22:00","-0.28","-","-0.53"
"2011/03/10","23:00","-0.492","-","-0.71"
"2011/03/11","00:00","-0.655","-","-0.87"
"2011/03/11","01:00","-0.724","-","-0.97"
"2011/03/11","02:00","-0.675","-","-0.86"
"2011/03/11","03:00","-0.512","-","-0.67"
"2011/03/11","04:00","-0.267","-","-0.44"
"2011/03/11","05:00","0.008","-","-0.2"
"2011/03/11","06:00","0.254","-","0.06"
"2011/03/11","07:00","0.422","-","0.25"
"2011/03/11","08:00","0.484","-","0.25"
"2011/03/11","09:00","0.439","-","0.19"
"2011/03/11","10:00","0.312","-","0.06"
"2011/03/11","11:00","0.142","-","2.5"
"2011/03/11","12:00","-0.021","-","0.28"
"2011/03/11","13:00","-0.137","-","-0.54"
"2011/03/11","14:00","-0.183","-","0.33"
"2011/03/11","15:00","-0.155","-","-0.14"
"2011/03/11","16:00","-0.071","-","0.13"
"2011/03/11","17:00","0.035","-","0.01"
"2011/03/11","18:00","0.126","-","-0.04"
"2011/03/11","19:00","0.164","-","0.34"
"2011/03/11","20:00","0.126","-","0.79"
"2011/03/11","21:00","0.008","-","0.37"
"2011/03/11","22:00","-0.175","-","-0.83"
"2011/03/11","23:00","-0.387","-","-0.45"
"2011/03/12","00:00","-0.58","-","-0.89"
"2011/03/12","01:00","-0.708","-","-0.83"
"2011/03/12","02:00","-0.735","-","-0.99"
"2011/03/12","03:00","-0.649","-","-0.96"
"2011/03/12","04:00","-0.461","-","-1.08"
"2011/03/12","05:00","-0.208","-","0.04"
"2011/03/12","06:00","0.059","-","-0.31"
"2011/03/12","07:00","0.287","-","0.05"
"2011/03/12","08:00","0.432","-","0.04"
"2011/03/12","09:00","0.472","-","0.27"
"2011/03/12","10:00","0.414","-","0.13"
"2011/03/12","11:00","0.285","-","0.01"
"2011/03/12","12:00","0.129","-","0.02"
"2011/03/12","13:00","-0.013","-","-0.39"
"2011/03/12","14:00","-0.105","-","-0.12"
"2011/03/12","15:00","-0.132","-","-0.14"
"2011/03/12","16:00","-0.098","-","-0.12"
"2011/03/12","17:00","-0.02","-","-0.15"
"2011/03/12","18:00","0.069","-","0.01"
"2011/03/12","19:00","0.132","-","0"
"2011/03/12","20:00","0.139","-","0.17"
"2011/03/12","21:00","0.072","-","0.16"
"2011/03/12","22:00","-0.068","-","-0.58"
"2011/03/12","23:00","-0.258","-","-0.32"
"2011/03/13","00:00","-0.46","-","-0.87"
"2011/03/13","01:00","-0.629","-","-0.46"
"2011/03/13","02:00","-0.726","-","-0.66"
"2011/03/13","03:00","-0.725","-","-0.89"
"2011/03/13","04:00","-0.618","-","-0.75"
"2011/03/13","05:00","-0.421","-","-0.11"
"2011/03/13","06:00","-0.17","-","-0.23"
"2011/03/13","07:00","0.085","-","0.4"
"2011/03/13","08:00","0.295","-","0.19"
"2011/03/13","09:00","0.421","-","0.36"
"2011/03/13","10:00","0.448","-","0.34"
"2011/03/13","11:00","0.386","-","0.24"
"2011/03/13","12:00","0.266","-","0.6"
"2011/03/13","13:00","0.126","-","-0.1"
"2011/03/13","14:00","0.003","-","0.05"
"2011/03/13","15:00","-0.075","-","-0.03"
"2011/03/13","16:00","-0.096","-","-0.2"
"2011/03/13","17:00","-0.063","-","-0.29"
"2011/03/13","18:00","0.006","-","0.13"
"2011/03/13","19:00","0.08","-","-0.25"
"2011/03/13","20:00","0.125","-","0.05"
"2011/03/13","21:00","0.112","-","-0.04"
"2011/03/13","22:00","0.029","-","-0.06"
"2011/03/13","23:00","-0.117","-","-0.2"
"2011/03/14","00:00","-0.301","-","-0.26"
"2011/03/14","01:00","-0.487","-","-0.5"
"2011/03/14","02:00","-0.637","-","-0.7"
"2011/03/14","03:00","-0.716","-","-0.86"
"2011/03/14","04:00","-0.702","-","-0.85"
"2011/03/14","05:00","-0.59","-","-0.56"
"2011/03/14","06:00","-0.395","-","-0.26"
"2011/03/14","07:00","-0.152","-","0.04"
"2011/03/14","08:00","0.09","-","0.41"
"2011/03/14","09:00","0.284","-","0.71"
"2011/03/14","10:00","0.397","-","0.68"
"2011/03/14","11:00","0.419","-","0.66"
"2011/03/14","12:00","0.361","-","0.62"
"2011/03/14","13:00","0.251","-","0.48"
"2011/03/14","14:00","0.123","-","0.33"
"2011/03/14","15:00","0.007","-","0.18"
"2011/03/14","16:00","-0.069","-","-0.02"
"2011/03/14","17:00","-0.092","-","0.03"
"2011/03/14","18:00","-0.062","-","0"
"2011/03/14","19:00","0.003","-","0.08"
"2011/03/14","20:00","0.072","-","0.1"
"2011/03/14","21:00","0.111","-","0.16"
"2011/03/14","22:00","0.095","-","0.08"
"2011/03/14","23:00","0.014","-","0.02"
"2011/03/15","00:00","-0.122","-","-0.19"
"2011/03/15","01:00","-0.292","-","-0.3"
"2011/03/15","02:00","-0.464","-","-0.56"
"2011/03/15","03:00","-0.606","-","-0.82"
"2011/03/15","04:00","-0.684","-","-0.95"
"2011/03/15","05:00","-0.674","-","-0.92"
"2011/03/15","06:00","-0.568","-","-0.84"
"2011/03/15","07:00","-0.38","-","-0.56"
"2011/03/15","08:00","-0.149","-","-0.27"
"2011/03/15","09:00","0.08","-","-0.01"
"2011/03/15","10:00","0.262","-","0.17"
"2011/03/15","11:00","0.369","-","0.37"
"2011/03/15","12:00","0.391","-","0.41"
"2011/03/15","13:00","0.338","-","0.35"
"2011/03/15","14:00","0.232","-","0.25"
"2011/03/15","15:00","0.1","-","0"
"2011/03/15","16:00","-0.022","-","-0.17"
"2011/03/15","17:00","-0.106","-","-0.19"
"2011/03/15","18:00","-0.132","-","-0.19"
"2011/03/15","19:00","-0.099","-","-0.21"
"2011/03/15","20:00","-0.028","-","-0.05"
"2011/03/15","21:00","0.05","-","-0.04"
"2011/03/15","22:00","0.102","-","0.04"
"2011/03/15","23:00","0.102","-","0.1"
