#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,3,15,0,0,0,1,4709.706
2011,3,14,23,45,0,1,4709.74
2011,3,14,23,30,0,1,4709.789
2011,3,14,23,15,0,1,4709.826
2011,3,14,23,0,0,1,4709.864
2011,3,14,22,45,0,1,4709.898
2011,3,14,22,30,0,1,4709.929
2011,3,14,22,15,0,1,4709.962
2011,3,14,22,0,0,1,4709.993
2011,3,14,21,45,0,1,4710.016
2011,3,14,21,30,0,1,4710.028
2011,3,14,21,15,0,1,4710.043
2011,3,14,21,0,0,1,4710.067
2011,3,14,20,45,0,1,4710.083
2011,3,14,20,30,0,1,4710.082
2011,3,14,20,15,0,1,4710.091
2011,3,14,20,0,0,1,4710.086
2011,3,14,19,45,0,1,4710.093
2011,3,14,19,30,0,1,4710.094
2011,3,14,19,15,0,1,4710.086
2011,3,14,19,0,0,1,4710.073
2011,3,14,18,45,0,1,4710.075
2011,3,14,18,30,0,1,4710.05
2011,3,14,18,15,0,1,4710.044
2011,3,14,18,0,0,1,4710.036
2011,3,14,17,45,0,1,4710.023
2011,3,14,17,30,0,1,4710.015
2011,3,14,17,15,0,1,4710.007
2011,3,14,17,0,0,1,4709.994
2011,3,14,16,45,0,1,4709.977
2011,3,14,16,30,0,1,4709.966
2011,3,14,16,15,0,1,4709.942
2011,3,14,16,0,0,1,4709.943
2011,3,14,15,45,0,1,4709.93
2011,3,14,15,30,0,1,4709.911
2011,3,14,15,15,0,1,4709.906
2011,3,14,15,0,0,1,4709.905
2011,3,14,14,45,0,1,4709.893
2011,3,14,14,30,0,1,4709.884
2011,3,14,14,15,0,1,4709.876
2011,3,14,14,0,0,1,4709.872
2011,3,14,13,45,0,1,4709.865
2011,3,14,13,30,0,1,4709.86
2011,3,14,13,15,0,1,4709.84
2011,3,14,13,0,0,1,4709.839
2011,3,14,12,45,0,1,4709.827
2011,3,14,12,30,0,1,4709.807
2011,3,14,12,15,0,1,4709.807
2011,3,14,12,0,0,1,4709.803
2011,3,14,11,45,0,1,4709.784
2011,3,14,11,30,0,1,4709.767
2011,3,14,11,15,0,1,4709.744
2011,3,14,11,0,0,1,4709.723
2011,3,14,10,45,0,1,4709.709
2011,3,14,10,30,0,1,4709.676
2011,3,14,10,15,0,1,4709.645
2011,3,14,10,0,0,1,4709.631
2011,3,14,9,45,0,1,4709.61
2011,3,14,9,30,0,1,4709.576
2011,3,14,9,15,0,1,4709.549
2011,3,14,9,0,0,1,4709.525
2011,3,14,8,45,0,1,4709.48
2011,3,14,8,30,0,1,4709.447
2011,3,14,8,15,0,1,4709.411
2011,3,14,8,0,0,1,4709.38
2011,3,14,7,45,0,1,4709.349
2011,3,14,7,30,0,1,4709.312
