#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,3,13,0,0,0,1,4978.336
2011,3,12,23,45,0,1,4978.367
2011,3,12,23,30,0,1,4978.354
2011,3,12,23,15,0,1,4978.357
2011,3,12,23,0,0,1,4978.345
2011,3,12,22,45,0,1,4978.361
2011,3,12,22,30,0,1,4978.361
2011,3,12,22,15,0,1,4978.356
2011,3,12,22,0,0,1,4978.327
2011,3,12,21,45,0,1,4978.326
2011,3,12,21,30,0,1,4978.312
2011,3,12,21,15,0,1,4978.259
2011,3,12,21,0,0,1,4978.244
2011,3,12,20,45,0,1,4978.232
2011,3,12,20,30,0,1,4978.204
2011,3,12,20,15,0,1,4978.167
2011,3,12,20,0,0,1,4978.139
2011,3,12,19,45,0,1,4978.104
2011,3,12,19,30,0,1,4978.061
2011,3,12,19,15,0,1,4978.059
2011,3,12,19,0,0,1,9999
2011,3,12,18,59,0,2,4978.018
2011,3,12,18,58,0,2,4978.014
2011,3,12,18,57,0,2,4978.01
2011,3,12,18,56,0,2,4978.003
2011,3,12,18,55,0,2,4977.997
2011,3,12,18,54,0,2,4977.99
2011,3,12,18,53,0,2,4977.987
2011,3,12,18,52,0,2,4977.981
2011,3,12,18,51,0,2,4977.979
2011,3,12,18,50,0,2,4977.976
2011,3,12,18,49,0,2,4977.98
2011,3,12,18,48,0,2,4977.986
2011,3,12,18,47,0,2,4977.985
2011,3,12,18,46,0,2,4977.982
2011,3,12,18,45,0,2,4977.978
2011,3,12,18,45,0,1,9999
2011,3,12,18,44,0,2,4977.97
2011,3,12,18,43,0,2,4977.964
2011,3,12,18,42,0,2,4977.965
2011,3,12,18,41,0,2,4977.971
2011,3,12,18,40,0,2,4977.975
2011,3,12,18,39,0,2,4977.973
2011,3,12,18,38,0,2,4977.973
2011,3,12,18,37,0,2,4977.973
2011,3,12,18,36,0,2,4977.971
2011,3,12,18,35,0,2,4977.973
2011,3,12,18,34,0,2,4977.973
