#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,3,13,0,0,0,1,1798.561
2011,3,12,23,45,0,1,1798.589
2011,3,12,23,30,0,1,1798.615
2011,3,12,23,15,0,1,1798.629
2011,3,12,23,0,0,1,1798.654
2011,3,12,22,45,0,1,1798.708
2011,3,12,22,30,0,1,1798.694
2011,3,12,22,15,0,1,1798.684
2011,3,12,22,0,0,1,1798.72
2011,3,12,21,45,0,1,1798.715
2011,3,12,21,30,0,1,1798.706
2011,3,12,21,15,0,1,1798.702
2011,3,12,21,0,0,1,1798.711
2011,3,12,20,45,0,1,1798.695
2011,3,12,20,30,0,1,1798.691
2011,3,12,20,15,0,1,1798.7
2011,3,12,20,0,0,1,1798.658
2011,3,12,19,45,0,1,1798.617
2011,3,12,19,30,0,1,1798.573
2011,3,12,19,15,0,1,1798.598
2011,3,12,19,0,0,1,1798.551
2011,3,12,18,45,0,1,9999
2011,3,12,18,30,0,1,9999
2011,3,12,18,15,0,1,9999
2011,3,12,18,0,0,1,9999
2011,3,12,17,59,0,2,1798.424
2011,3,12,17,58,0,2,1798.417
2011,3,12,17,57,0,2,1798.414
2011,3,12,17,56,0,2,1798.413
2011,3,12,17,55,0,2,1798.404
2011,3,12,17,54,0,2,1798.398
2011,3,12,17,53,0,2,1798.399
2011,3,12,17,52,0,2,1798.398
2011,3,12,17,51,0,2,1798.408
2011,3,12,17,50,0,2,1798.417
2011,3,12,17,49,0,2,1798.416
2011,3,12,17,48,0,2,1798.405
2011,3,12,17,47,0,2,1798.398
2011,3,12,17,46,0,2,1798.402
2011,3,12,17,45,0,2,1798.415
2011,3,12,17,45,0,1,9999
2011,3,12,17,44,0,2,1798.417
2011,3,12,17,43,0,2,1798.408
2011,3,12,17,42,0,2,1798.404
2011,3,12,17,41,0,2,1798.407
2011,3,12,17,40,0,2,1798.401
2011,3,12,17,39,0,2,1798.39
2011,3,12,17,38,0,2,1798.386
2011,3,12,17,37,0,2,1798.37
2011,3,12,17,36,0,2,1798.364
2011,3,12,17,35,0,2,1798.365
2011,3,12,17,34,0,2,1798.358
2011,3,12,17,33,0,2,1798.356
2011,3,12,17,32,0,2,1798.355
2011,3,12,17,31,0,2,1798.355
2011,3,12,17,30,0,2,1798.36
2011,3,12,17,30,0,1,9999
2011,3,12,17,29,0,2,1798.359
2011,3,12,17,28,0,2,1798.353
2011,3,12,17,27,0,2,1798.354
2011,3,12,17,26,0,2,1798.353
2011,3,12,17,25,0,2,1798.358
2011,3,12,17,24,0,2,1798.357
2011,3,12,17,23,0,2,1798.347
2011,3,12,17,22,0,2,1798.343
2011,3,12,17,21,0,2,1798.329
2011,3,12,17,20,0,2,1798.319
2011,3,12,17,19,0,2,1798.319
2011,3,12,17,18,0,2,1798.323
2011,3,12,17,17,0,2,1798.332
2011,3,12,17,16,0,2,1798.344
2011,3,12,17,15,0,2,1798.348
2011,3,12,17,15,0,1,9999
2011,3,12,17,14,0,2,1798.353
2011,3,12,17,13,0,2,1798.352
2011,3,12,17,12,0,2,1798.346
2011,3,12,17,11,0,2,1798.335
2011,3,12,17,10,0,2,1798.335
2011,3,12,17,9,0,2,1798.326
2011,3,12,17,8,0,2,1798.324
2011,3,12,17,7,0,2,1798.329
2011,3,12,17,6,0,2,1798.327
2011,3,12,17,5,0,2,1798.323
2011,3,12,17,4,0,2,1798.325
2011,3,12,17,3,0,2,1798.318
2011,3,12,17,2,0,2,1798.316
