#YY,MM,DD,hh,mm,ss,T,HEIGHT
2011,3,15,0,0,0,1,5662.872
2011,3,14,23,45,0,1,5662.884
2011,3,14,23,30,0,1,5662.889
2011,3,14,23,15,0,1,5662.894
2011,3,14,23,0,0,1,5662.912
2011,3,14,22,45,0,1,5662.907
2011,3,14,22,30,0,1,5662.904
2011,3,14,22,15,0,1,5662.908
2011,3,14,22,0,0,1,5662.917
2011,3,14,21,45,0,1,5662.916
2011,3,14,21,30,0,1,5662.905
2011,3,14,21,15,0,1,5662.906
2011,3,14,21,0,0,1,5662.897
2011,3,14,20,45,0,1,5662.896
2011,3,14,20,30,0,1,5662.895
2011,3,14,20,15,0,1,5662.879
2011,3,14,20,0,0,1,5662.867
2011,3,14,19,45,0,1,5662.875
2011,3,14,19,30,0,1,5662.864
2011,3,14,19,15,0,1,5662.855
2011,3,14,19,0,0,1,5662.846
2011,3,14,18,45,0,1,5662.84
2011,3,14,18,30,0,1,5662.833
2011,3,14,18,15,0,1,5662.826
2011,3,14,18,0,0,1,5662.824
2011,3,14,17,45,0,1,5662.817
2011,3,14,17,30,0,1,5662.813
2011,3,14,17,15,0,1,5662.81
2011,3,14,17,0,0,1,5662.803
2011,3,14,16,45,0,1,5662.804
2011,3,14,16,30,0,1,5662.794
2011,3,14,16,15,0,1,5662.8
2011,3,14,16,0,0,1,5662.783
2011,3,14,15,45,0,1,5662.773
2011,3,14,15,30,0,1,5662.762
2011,3,14,15,15,0,1,5662.765
2011,3,14,15,0,0,1,5662.743
2011,3,14,14,45,0,1,5662.736
2011,3,14,14,30,0,1,5662.716
2011,3,14,14,15,0,1,5662.699
2011,3,14,14,0,0,1,5662.687
2011,3,14,13,45,0,1,5662.679
2011,3,14,13,30,0,1,5662.658
2011,3,14,13,15,0,1,5662.634
2011,3,14,13,0,0,1,5662.622
2011,3,14,12,45,0,1,5662.612
2011,3,14,12,30,0,1,5662.583
2011,3,14,12,15,0,1,5662.575
2011,3,14,12,0,0,1,5662.556
2011,3,14,11,45,0,1,5662.536
2011,3,14,11,30,0,1,5662.506
2011,3,14,11,15,0,1,5662.486
2011,3,14,11,0,0,1,5662.465
2011,3,14,10,45,0,1,5662.448
2011,3,14,10,30,0,1,5662.427
2011,3,14,10,15,0,1,5662.404
2011,3,14,10,0,0,1,9999
2011,3,14,9,59,0,2,5662.387
2011,3,14,9,58,0,2,5662.389
2011,3,14,9,57,0,2,5662.389
2011,3,14,9,56,0,2,5662.388
2011,3,14,9,55,0,2,5662.389
2011,3,14,9,54,0,2,5662.389
2011,3,14,9,53,0,2,5662.388
2011,3,14,9,52,0,2,5662.388
2011,3,14,9,51,0,2,5662.387
2011,3,14,9,50,0,2,5662.384
2011,3,14,9,49,0,2,5662.383
2011,3,14,9,48,0,2,5662.38
2011,3,14,9,47,0,2,5662.378
2011,3,14,9,46,0,2,5662.376
2011,3,14,9,45,0,2,5662.372
2011,3,14,9,45,0,1,9999
2011,3,14,9,44,0,2,5662.37
2011,3,14,9,43,0,2,5662.368
2011,3,14,9,42,0,2,5662.365
2011,3,14,9,41,0,2,5662.364
2011,3,14,9,40,0,2,5662.361
2011,3,14,9,39,0,2,5662.358
2011,3,14,9,38,0,2,5662.357
2011,3,14,9,37,0,2,5662.354
2011,3,14,9,36,0,2,5662.352
2011,3,14,9,35,0,2,5662.35
2011,3,14,9,34,0,2,5662.349
2011,3,14,9,33,0,2,5662.348
2011,3,14,9,32,0,2,5662.348
2011,3,14,9,31,0,2,5662.349
2011,3,14,9,30,0,2,5662.349
2011,3,14,9,30,0,1,9999
2011,3,14,9,29,0,2,5662.349
2011,3,14,9,28,0,2,5662.35
2011,3,14,9,27,0,2,5662.352
2011,3,14,9,26,0,2,5660.816
2011,3,14,9,25,0,2,5661.409
2011,3,14,9,24,0,2,5662.351
2011,3,14,9,23,0,2,5662.35
2011,3,14,9,22,0,2,5662.35
2011,3,14,9,21,0,2,5662.352
2011,3,14,9,20,0,2,5662.352
2011,3,14,9,19,0,2,5662.351
2011,3,14,9,18,0,2,5662.352
2011,3,14,9,17,0,2,5662.351
2011,3,14,9,16,0,2,5662.351
2011,3,14,9,15,0,2,5662.35
2011,3,14,9,15,0,1,9999
2011,3,14,9,14,0,2,5662.349
2011,3,14,9,13,0,2,5662.346
2011,3,14,9,12,0,2,5662.344
2011,3,14,9,11,0,2,5662.341
2011,3,14,9,10,0,2,5661.116
2011,3,14,9,9,0,2,5661.464
2011,3,14,9,8,0,2,5662.333
2011,3,14,9,7,0,2,5661.562
2011,3,14,9,6,0,2,5662.329
2011,3,14,9,5,0,2,5662.328
2011,3,14,9,4,0,2,5662.321
2011,3,14,9,3,0,2,5662.32
2011,3,14,9,2,0,2,5662.317
2011,3,14,9,1,0,2,5662.242
2011,3,14,9,0,0,2,5662.311
2011,3,14,9,0,0,1,9999
2011,3,14,8,59,0,2,5662.309
2011,3,14,8,58,0,2,5662.309
2011,3,14,8,57,0,2,5662.308
2011,3,14,8,56,0,2,5662.307
2011,3,14,8,55,0,2,5662.307
2011,3,14,8,54,0,2,5661.12
2011,3,14,8,53,0,2,5662.306
2011,3,14,8,52,0,2,5662.307
2011,3,14,8,51,0,2,5662.306
2011,3,14,8,50,0,2,5662.304
2011,3,14,8,49,0,2,5662.304
2011,3,14,8,48,0,2,5662.304
2011,3,14,8,47,0,2,5662.303
2011,3,14,8,46,0,2,5662.301
2011,3,14,8,45,0,2,5662.301
2011,3,14,8,45,0,1,9999
2011,3,14,8,44,0,2,5662.301
2011,3,14,8,43,0,2,5662.301
2011,3,14,8,42,0,2,5662.3
2011,3,14,8,41,0,2,5662.3
2011,3,14,8,40,0,2,5662.3
2011,3,14,8,39,0,2,5662.3
2011,3,14,8,38,0,2,5662.3
2011,3,14,8,37,0,2,5662.301
2011,3,14,8,36,0,2,5662.303
2011,3,14,8,35,0,2,5662.303
2011,3,14,8,34,0,2,5662.301
2011,3,14,8,33,0,2,5662.302
2011,3,14,8,32,0,2,5662.299
2011,3,14,8,31,0,2,5662.3
2011,3,14,8,30,0,2,5662.3
2011,3,14,8,30,0,1,9999
2011,3,14,8,29,0,2,5662.299
2011,3,14,8,28,0,2,5662.299
2011,3,14,8,27,0,2,5662.299
2011,3,14,8,26,0,2,5662.299
2011,3,14,8,25,0,2,5662.297
2011,3,14,8,24,0,2,5662.292
2011,3,14,8,23,0,2,5662.291
2011,3,14,8,22,0,2,5661.279
2011,3,14,8,21,0,2,5662.289
2011,3,14,8,20,0,2,5662.288
2011,3,14,8,19,0,2,5662.286
2011,3,14,8,18,0,2,5662.285
2011,3,14,8,17,0,2,5662.283
2011,3,14,8,16,0,2,5662.282
2011,3,14,8,15,0,2,5662.28
2011,3,14,8,15,0,1,9999
2011,3,14,8,14,0,2,5662.279
2011,3,14,8,13,0,2,5662.278
2011,3,14,8,12,0,2,5662.279
2011,3,14,8,11,0,2,5662.28
2011,3,14,8,10,0,2,5662.281
2011,3,14,8,9,0,2,5662.281
2011,3,14,8,8,0,2,5662.283
2011,3,14,8,7,0,2,5662.279
2011,3,14,8,6,0,2,5661.304
2011,3,14,8,5,0,2,5662.244
2011,3,14,8,4,0,2,5661.545
